,Type,Source,Destination,Matching
0,FUNCTION,tradedassetspagination,tradedassetspagination,True
1,FUNCTION,tradedassetspagination_bysource,tradedassetspagination_bysource,True
2,FUNCTION,getchartdata,getchartdata,True
3,FUNCTION,getcryptocontent,getcryptocontent,True
4,FUNCTION,gettopexchanges,gettopexchanges,True
5,FUNCTION,getxexchangeidsbytrust,getxexchangeidsbytrust,True
6,FUNCTION,getcoingeckoexchangeslist,getcoingeckoexchangeslist,True
7,PROCEDURE,upsertfundamentalslatest,upsertfundamentalslatest,True
8,PROCEDURE,updatechartdata,updatechartdata,True
9,PROCEDURE,removeentryfromfundamentalslatest,removeentryfromfundamentalslatest,True
10,PROCEDURE,upsert_exchange_fundamentalslatest,upsert_exchange_fundamentalslatest,True
11,PROCEDURE,upsertcoingeckoexchanges,upsertcoingeckoexchanges,True
12,Procedure/Function,,upsertcgcount,False
13,Procedure/Function,,leaders_laggardsbysource,False
14,Procedure/Function,,upsertexchangesmarketticker,False
15,Procedure/Function,,marketpairsdatatest,False
16,Procedure/Function,,buildexchnages,False
17,Procedure/Function,,inactiveassets,False
18,Procedure/Function,,checkchartdata,False
19,Procedure/Function,,getchartsdatatest,False
20,Procedure/Function,,test_proc_2,False
21,Procedure/Function,,testfunc2,False
22,Procedure/Function,,bulkdeletedata,False
23,Procedure/Function,,appendchartdata,False
24,Procedure/Function,,buildexchanges,False
25,Procedure/Function,,myinsert,False
26,Procedure/Function,,deleterecordsfromtable,False
27,Procedure/Function,,getactiveassets,False
28,Procedure/Function,,upsertfundamentalslatestcg,False
29,Procedure/Function,,upserthighlowsforbasetoken,False
30,Procedure/Function,,upsertassets,False
31,Procedure/Function,,buildmaketpairs,False
32,Procedure/Function,,testfunc1,False
33,Procedure/Function,,gethighlowdata,False
34,Procedure/Function,,test_proc2,False
35,Procedure/Function,,test_proc,False
36,Procedure/Function,,getxcoingeckoids,False
37,Procedure/Function,,tradedassetspaginationcg,False
38,Procedure/Function,,leaders_laggards,False
39,Procedure/Function,,upsertfundamentalslatesttest,False
40,Procedure/Function,,tradedassetspagination1,False
41,Procedure/Function,,getexchangesdata,False
42,Procedure/Function,,exchangesdata,False
43,Procedure/Function,,getinactiveassets,False
44,Procedure/Function,,storedhighlowsdata,False
45,Procedure/Function,,getactivemarketpairs,False
46,Procedure/Function,,upsertcurrenciestickers,False
47,Procedure/Function,,getwatchlistdatabyid,False
48,Procedure/Function,,marketpairsdata,False
49,Procedure/Function,,getchartprices,False
50,Procedure/Function,,activeassets,False
51,Procedure/Function,,getchartwithlatestticker,False
52,Procedure/Function,,bulkdeletedatafromfundamentals,False
53,Procedure/Function,,test_proc1,False
54,Procedure/Function,,calculateavgclose_10m,False
55,Procedure/Function,,getmarketpairsdata,False
56,Procedure/Function,,appendchartdata1,False
57,Procedure/Function,,getinactivemarketpairs,False
58,Procedure/Function,,testfunc,False
59,Procedure/Function,,leaders_laggardscg,False
60,Procedure/Function,,upsertmarkets,False
61,Procedure/Function,,upsertcoingeckoasset,False
62,Procedure/Function,,gethighlowsforbase,False
