,Source,Destination
0,exchange_fundamentalslatest,exchange_fundamentalslatest
1,coingecko_assets,coingecko_assets
2,exchange_fundamentals,exchange_fundamentals
3,fundamentalslatest,fundamentalslatest
4,coingecko_exchanges,coingecko_exchanges
5,coingecko_exchange_metadata,coingecko_exchange_metadata
6,coingecko_asset_metadata,coingecko_asset_metadata
7,coingecko_exchanges_tickers,coingecko_exchanges_tickers
8,fundamentals,fundamentals
9,nomics_chart_data,nomics_chart_data
10,,github_insights
11,,fundamentalscg
12,,coingecko_counthistory
13,,exchanges
14,,repository_insights
15,,_chart
16,,forbes_assets
17,,chartdata
18,,fundamentalslatestcg
